,state,district,year,month,Bio_bio_age_5_17,Bio_bio_age_17_
0,Andaman and Nicobar Islands,Nicobar,2025,3,178.0,101.0
1,Andaman and Nicobar Islands,Nicobar,2025,4,151.0,117.0
2,Andaman and Nicobar Islands,Nicobar,2025,5,34.0,50.0
3,Andaman and Nicobar Islands,Nicobar,2025,6,61.0,75.0
4,Andaman and Nicobar Islands,Nicobar,2025,7,95.0,147.0
5,Andaman and Nicobar Islands,Nicobar,2025,9,94.0,155.0
6,Andaman and Nicobar Islands,Nicobar,2025,10,36.0,63.0
7,Andaman and Nicobar Islands,Nicobar,2025,11,132.0,58.0
8,Andaman and Nicobar Islands,Nicobar,2025,12,212.0,54.0
9,Andaman and Nicobar Islands,North And Middle Andaman,2025,3,470.0,347.0
10,Andaman and Nicobar Islands,North And Middle Andaman,2025,4,623.0,348.0
11,Andaman and Nicobar Islands,North And Middle Andaman,2025,5,272.0,250.0
12,Andaman and Nicobar Islands,North And Middle Andaman,2025,6,292.0,453.0
13,Andaman and Nicobar Islands,North And Middle Andaman,2025,7,351.0,648.0
14,Andaman and Nicobar Islands,North And Middle Andaman,2025,9,559.0,187.0
15,Andaman and Nicobar Islands,North And Middle Andaman,2025,10,303.0,108.0
16,Andaman and Nicobar Islands,North And Middle Andaman,2025,11,467.0,114.0
17,Andaman and Nicobar Islands,North And Middle Andaman,2025,12,443.0,148.0
18,Andaman and Nicobar Islands,South Andaman,2025,3,964.0,643.0
19,Andaman and Nicobar Islands,South Andaman,2025,4,856.0,649.0
20,Andaman and Nicobar Islands,South Andaman,2025,5,676.0,613.0
21,Andaman and Nicobar Islands,South Andaman,2025,6,492.0,571.0
22,Andaman and Nicobar Islands,South Andaman,2025,7,649.0,938.0
23,Andaman and Nicobar Islands,South Andaman,2025,9,1145.0,613.0
24,Andaman and Nicobar Islands,South Andaman,2025,10,601.0,383.0
25,Andaman and Nicobar Islands,South Andaman,2025,11,590.0,461.0
26,Andaman and Nicobar Islands,South Andaman,2025,12,1060.0,598.0
27,Andhra Pradesh,Alluri Sitharama Raju,2025,3,585.0,1408.0
28,Andhra Pradesh,Alluri Sitharama Raju,2025,4,877.0,1092.0
29,Andhra Pradesh,Alluri Sitharama Raju,2025,5,1125.0,964.0
30,Andhra Pradesh,Alluri Sitharama Raju,2025,6,1717.0,1219.0
31,Andhra Pradesh,Alluri Sitharama Raju,2025,7,718.0,1130.0
32,Andhra Pradesh,Alluri Sitharama Raju,2025,9,700.0,711.0
33,Andhra Pradesh,Alluri Sitharama Raju,2025,10,749.0,1270.0
34,Andhra Pradesh,Alluri Sitharama Raju,2025,11,1099.0,1013.0
35,Andhra Pradesh,Alluri Sitharama Raju,2025,12,868.0,1362.0
36,Andhra Pradesh,Anakapalli,2025,3,218.0,234.0
37,Andhra Pradesh,Anakapalli,2025,4,598.0,342.0
38,Andhra Pradesh,Anakapalli,2025,5,565.0,480.0
39,Andhra Pradesh,Anakapalli,2025,6,579.0,449.0
40,Andhra Pradesh,Anakapalli,2025,7,214.0,281.0
41,Andhra Pradesh,Anakapalli,2025,9,111.0,292.0
